country,continent,year,lifeExp,pop,gdpPercap
Afghanistan,Asia,2016,43.2368601443682,41456899,1370.2634337933
Albania,Europe,2016,75.2795406597618,4680679,8324.25014343226
Algeria,Africa,2016,71.0060821012853,43333180,8717.8358538609
Angola,Africa,2016,45.2928351671786,16146618,6721.56284679111
Argentina,Americas,2016,72.2611158294167,52392505,17895.0557901546
Australia,Oceania,2016,82.8848610539513,26564428,48217.3478178328
Austria,Europe,2016,79.0381003086987,10659717,50574.2489460759
Bahrain,Asia,2016,71.7204183636127,921144,41709.7770929276
Bangladesh,Asia,2016,64.7072970475935,195582840,1953.64651073327
Belgium,Europe,2016,79.6186488106023,13509893,47168.6487866464
Benin,Africa,2016,54.8078566962616,10501808,2014.15021340656
Bolivia,Americas,2016,64.9071782389808,11854897,5343.92993043806
Bosnia and Herzegovina,Europe,2016,74.2640488710567,5917857,10432.2842517069
Botswana,Africa,2016,46.0065079791561,2130870,17599.1771028249
Brazil,Americas,2016,75.7771184946238,247013841,12695.4931699392
Bulgaria,Europe,2016,71.4833184012465,9519715,14959.2499820361
Burkina Faso,Africa,2016,54.3902070437988,18624063,1705.46904821458
Burundi,Africa,2016,48.1648678446916,10907656,598.638027550341
Cambodia,Asia,2016,63.7427510631958,18371415,2395.9726198694
Cameroon,Africa,2016,51.2878522528125,23005180,2859.91143399619
Canada,Americas,2016,79.9392467790677,43407183,50842.4145025678
Central African Republic,Africa,2016,41.5813809295599,5679749,990.70188894657
Chad,Africa,2016,50.3400412952444,13310449,2383.38839136391
Chile,Americas,2016,79.5533000090792,21170163,18437.0806295147
China,Asia,2016,73.4470630383988,1714288024,6942.20240310508
Columbia,Americas,2016,72.9033366085371,57495815,9805.18568177726
Comoros,Africa,2016,66.944074108284,924248,1383.87297051912
"Congo, Dem. Rep.",Africa,2016,46.5627533474423,83988786,388.107471220179
"Congo, Rep.",Africa,2016,58.4229251555227,4940793,5091.20831193359
Costa Rica,Americas,2016,81.4593478453054,5374049,13501.9622476005
Cote d'Ivoire,Africa,2016,49.5252279390448,23417431,2167.04814417046
Croatia,Europe,2016,77.3320834799857,5841305,20473.3251351647
Cuba,Americas,2016,75.7457423992201,14842083,12519.6800189934
Czech Republic,Europe,2016,75.6422731596629,13297367,31964.2396810673
Denmark,Europe,2016,78.1527124169094,7108556,49400.979299789
Djibouti,Africa,2016,53.3964604250644,645286,2915.92902276148
Dominican Republic,Americas,2016,70.4892801680763,12115508,8428.4673298504
Ecuador,Americas,2016,74.2794866279896,17882384,9630.36658526848
Egypt,Africa,2016,69.3578226272676,104343905,7809.31147676326
El Salvador,Americas,2016,71.9082339040622,-9021594,8019.05949955726
Equatorial Guinea,Africa,2016,50.0260390750503,716561,17002.2841895933
Eritrea,Panem,2016,54.1288622149227,6378560,890.461533159421
Ethiopia,Africa,2016,54.3583852699991,99465453,962.82312712265
Finland,Europe,2016,80.4446379484385,6809998,46495.2915142101
France,Europe,2016,82.7279551839972,79409090,42667.6396953015
Gabon,Africa,2016,57.445695249185,1891327,18489.9586952402
Gambia,Africa,2016,58.3951494936328,2194866,1048.17069897714
Germany,Europe,2016,79.6600718513765,107121294,45041.2445266996
